ID,CAMPAIGNID
0913885ccc3455663900a758941da7bec3bad84c,39060730d62be825ebb599711124309a
f1d4530f8607832ead666024ff381b9afc89c510,b5b037a78522671b89a2c1b21d9b80c6
c6316f1faf11e99d0b0bdeb6c513c1b57d3ee43d,396ac2a33748bb784077f4112335faa0
3b091f0e4bbbe4562bbe61b1a7ca4b8d287eeee9,1395ad342f7331f6ae81badb2eeb4717
aef2b3cec849ac962fafca25fc277af8f0f827be,2b7203e1d1b1c3dd4615bdd0ffe60736
1f8c9453c8043e8116e17f7ad58436cf1a09b21a,396ac2a33748bb784077f4112335faa0
72db1b63e0b300c2efdd23583ef64cf30d8e3c3c,396ac2a33748bb784077f4112335faa0
26f91aa1918378def0047f6fe7f7f958784668d7,396ac2a33748bb784077f4112335faa0
3cc23ffaa9e57e0a34ac1b2ef80e520f9cf255fa,396ac2a33748bb784077f4112335faa0
28573fcfed2080464d64b7130090d9109cc78338,2b7203e1d1b1c3dd4615bdd0ffe60736
0dbb811e76f5df200aed92516157740774f23c53,39060730d62be825ebb599711124309a
5d6af5a60d4f19a88baeef2f9edbeb4118c85dfc,adbf5a778175ee757c34d0eba4e932bc
515ae47e33757d7fbf237111e656919de5eea4e3,396ac2a33748bb784077f4112335faa0
2f3bbb61b4643430b1ade39e37b903624529963b,396ac2a33748bb784077f4112335faa0
f17f1cb5c50ae07b3691369ab9d32e50b2ce6d69,396ac2a33748bb784077f4112335faa0
850309a573dd2dad40df1e88f74abd8d9bc2e481,adbf5a778175ee757c34d0eba4e932bc
abfdc2c16f449b03ea7de3e9ec2a9497b9481496,39060730d62be825ebb599711124309a
6685399b7cddf9f179a2360aabc22238b471e7db,39060730d62be825ebb599711124309a
bcb44ec8d1289f0630e8fddad3df54f81eb597a0,1395ad342f7331f6ae81badb2eeb4717
2006d942a819963ff6d23faa39edb8c4d28bb9e8,db06e8e094e3b4b5943bbb71aabe9cdc
b12e6dda83f6a18e5be5b369d34c5559f03f4cae,adbf5a778175ee757c34d0eba4e932bc
ea60bd71775d2e62a9feb4419370e1dc8328b273,396ac2a33748bb784077f4112335faa0
96765df0957f5a341a0e8654af1a5da07ce115e8,2b7203e1d1b1c3dd4615bdd0ffe60736
4abc5c3c1b1a6e54ed84e919f31929b1677dec21,39060730d62be825ebb599711124309a
c594346f84abf46baab9b838a402fa80edff1a17,b5b037a78522671b89a2c1b21d9b80c6
ae88c1591e07c553d088548f8c4499823a7deaad,2b7203e1d1b1c3dd4615bdd0ffe60736
b6a4309e7441a17a9752938822e12dfa54d9bb0b,b5b037a78522671b89a2c1b21d9b80c6
e2bf722ab60a4f60645386dc2f81afaacd83f309,2b7203e1d1b1c3dd4615bdd0ffe60736
79b6ff4974e6373692dedd16e75338fbfdd51b5b,2b7203e1d1b1c3dd4615bdd0ffe60736
b6cdce25f827e0ecbd55fb07cdc25767134fb6ee,b5b037a78522671b89a2c1b21d9b80c6
3fde36498c06c2cd568e67ab4c63b425a8e37565,b5b037a78522671b89a2c1b21d9b80c6
ade8d2135ce5ae8509269142b4523157741e3fa7,b5b037a78522671b89a2c1b21d9b80c6
1e5cfdae49cf57b4a5ddf5661d165ab4761145b8,2b7203e1d1b1c3dd4615bdd0ffe60736
68e31e78a866594d35df65d5c7a4e8c5a3b8281e,39060730d62be825ebb599711124309a
d03e253e50cc7e209fae063e3200fd9593109e50,b5b037a78522671b89a2c1b21d9b80c6
81cfb1f269e347ae011b77d8843b1a3bbc1b7e73,396ac2a33748bb784077f4112335faa0
